# DAQ fotoacústico — ventana capturada
# fecha=20260624_200320  Fs_MHz=54.0  Ts_ns=18.519  bits=12  LSB_mV=2.4414  offset_code=2048
muestra,t_ns,t_us,codigo,mV,prom_mV
0,0.0,0.0000,2027,-51.270,-42.648
1,18.5,0.0185,2032,-39.062,-41.885
2,37.0,0.0370,2029,-46.387,-43.259
3,55.6,0.0556,2030,-43.945,-41.504
4,74.1,0.0741,2030,-43.945,-39.673
5,92.6,0.0926,2039,-21.973,-46.158
6,111.1,0.1111,2026,-53.711,-155.334
7,129.6,0.1296,1905,-349.121,-81.711
8,148.1,0.1481,1968,-195.312,-132.294
9,166.7,0.1667,1993,-134.277,-100.555
10,185.2,0.1852,2005,-104.980,-50.201
11,203.7,0.2037,2036,-29.297,-25.711
12,222.2,0.2222,2042,-14.648,-32.425
13,240.7,0.2407,2038,-24.414,-40.512
14,259.3,0.2593,2037,-26.855,-42.648
15,277.8,0.2778,2035,-31.738,-41.580
16,296.3,0.2963,2034,-34.180,-37.918
17,314.8,0.3148,2031,-41.504,-41.351
18,333.3,0.3333,2028,-48.828,-40.436
19,351.9,0.3519,2034,-34.180,-39.139
20,370.4,0.3704,2036,-29.297,-38.452
21,388.9,0.3889,2028,-48.828,-46.692
22,407.4,0.4074,2033,-36.621,-37.308
23,425.9,0.4259,2032,-39.062,-41.046
24,444.4,0.4444,2034,-34.180,-39.749
25,463.0,0.4630,2030,-43.945,-39.749
26,481.5,0.4815,2033,-36.621,-39.139
27,500.0,0.5000,2034,-34.180,-39.444
28,518.5,0.5185,2029,-46.387,-42.267
29,537.0,0.5370,2032,-39.062,-38.452
30,555.6,0.5556,2033,-36.621,-39.673
31,574.1,0.5741,2034,-34.180,-40.359
32,592.6,0.5926,2034,-34.180,-38.071
33,611.1,0.6111,2030,-43.945,-39.520
34,629.6,0.6296,2033,-36.621,-40.741
35,648.1,0.6481,2032,-39.062,-40.665
36,666.7,0.6667,2030,-43.945,-41.351
37,685.2,0.6852,2033,-36.621,-40.894
38,703.7,0.7037,2032,-39.062,-39.368
39,722.2,0.7222,2029,-46.387,-40.054
40,740.7,0.7407,2034,-34.180,-41.046
41,759.3,0.7593,2032,-39.062,-42.572
42,777.8,0.7778,2033,-36.621,-39.673
43,796.3,0.7963,2032,-39.062,-40.817
44,814.8,0.8148,2030,-43.945,-41.962
45,833.3,0.8333,2029,-46.387,-41.885
46,851.9,0.8519,2032,-39.062,-42.953
47,870.4,0.8704,2030,-43.945,-42.191
48,888.9,0.8889,2030,-43.945,-41.885
49,907.4,0.9074,2034,-34.180,-42.267
50,925.9,0.9259,2030,-43.945,-41.428
51,944.4,0.9444,2032,-39.062,-42.343
52,963.0,0.9630,2030,-43.945,-42.877
53,981.5,0.9815,2028,-48.828,-42.343
54,1000.0,1.0000,2035,-31.738,-41.580
55,1018.5,1.0185,2030,-43.945,-41.656
56,1037.0,1.0370,2028,-48.828,-41.428
57,1055.6,1.0556,2033,-36.621,-42.038
58,1074.1,1.0741,2030,-43.945,-43.488
59,1092.6,1.0926,2032,-39.062,-42.267
60,1111.1,1.1111,2030,-43.945,-41.122
61,1129.6,1.1296,2029,-46.387,-42.267
62,1148.1,1.1481,2032,-39.062,-41.809
